                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.424,                 1.0615,                 1.1503,                0.55522,                0.02155,                 0.0196,                0.00533,                 3.4767,                 4.8734,                 2.6518,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.4224,                 1.0677,                 1.1556,                0.02325,                0.04481,                0.01955,                0.00439,                 3.4718,                 4.8577,                  2.737,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.3925,                 1.0559,                 1.1371,                0.01667,                0.04296,                0.01169,                0.00319,                 3.6071,                  4.987,                 2.8966,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.4173,                 1.0712,                  1.135,                0.35183,                0.01466,                0.00828,                0.00237,                 3.5865,                 5.3571,                 2.8383,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.3772,                 1.0311,                 1.1213,                0.02689,                 0.0502,                0.02694,                0.00646,                 3.6145,                 5.1911,                 2.9562,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3765,                 1.0253,                 1.1245,                0.03872,                0.06388,                0.03813,                 0.0087,                 3.6509,                 4.6446,                 2.9905,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.3757,                 1.0033,                 1.1198,                0.02163,                0.02386,                0.01347,                0.00356,                 3.6235,                 5.8187,                 2.9628,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.3798,                0.99495,                 1.1337,                0.01896,                0.05815,                0.01764,                0.00452,                 3.6129,                 5.0421,                 2.8392,               0.000604,               0.000604,               0.000604
                     42,                 1.3868,                 1.0026,                 1.1178,                0.01593,                0.04438,                0.01342,                0.00351,                 3.5629,                 4.9626,                 2.8388,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.3464,                0.95937,                  1.113,                0.01167,                   0.03,                0.01043,                0.00411,                 3.6465,                 4.9614,                 2.9492,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.3665,                0.96336,                 1.1101,                0.01751,                0.03947,                0.01259,                0.00323,                 3.6621,                 4.9459,                 3.0296,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.3522,                0.98375,                 1.1181,                0.26059,                0.01538,                0.01205,                0.00391,                 3.5496,                 5.3138,                 2.9177,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.3297,                0.94431,                 1.1036,                0.01272,                0.02541,                0.00955,                 0.0035,                 3.5313,                 5.4692,                 2.8637,              0.0005545,              0.0005545,              0.0005545
                     47,                  1.354,                0.93258,                 1.1018,                0.01948,                0.03105,                0.01444,                0.00449,                 3.4746,                 5.4518,                 2.7096,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.3309,                0.93521,                 1.1055,                0.38149,                0.02822,                 0.0187,                0.00448,                 3.5183,                 4.8699,                  2.713,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.3096,                0.91155,                 1.0898,                 0.0291,                0.05401,                0.02647,                0.00652,                 3.5146,                  5.102,                 2.7589,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.2808,                0.90592,                 1.0852,                0.38599,                0.03105,                0.02001,                0.00544,                 3.5861,                 5.1256,                 2.8117,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.3118,                0.89657,                 1.0913,                0.02353,                0.03852,                0.02145,                0.00596,                 3.4621,                 5.3401,                  2.743,               0.000505,               0.000505,               0.000505
                     52,                 1.3155,                 0.8872,                 1.0863,                0.23398,                0.02147,                0.01361,                 0.0037,                 3.6035,                 5.0047,                 2.9533,              0.0004951,              0.0004951,              0.0004951
                     53,                  1.284,                0.88931,                 1.0922,                0.20381,                0.01929,                0.01536,                0.00333,                 3.5614,                  5.159,                 2.8442,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3004,                0.87093,                 1.0833,                0.02293,                0.03235,                0.01867,                0.00539,                 3.5179,                 5.7845,                 2.8054,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.3133,                0.88344,                 1.0924,                0.02961,                0.03497,                0.02233,                0.00692,                 3.5537,                 5.3168,                  2.842,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.2704,                0.85634,                 1.0755,                0.24946,                0.02078,                0.01671,                0.00467,                 3.5366,                 5.2563,                 2.8002,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.2836,                0.86151,                 1.0767,                0.02751,                0.01692,                0.01361,                0.00408,                 3.5994,                 5.5478,                  2.975,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.2714,                0.84557,                 1.0682,                0.02056,                0.03158,                0.01755,                0.00599,                 3.5704,                 5.4421,                  2.964,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.2774,                0.84085,                 1.0747,                0.04659,                0.04539,                0.03968,                0.01314,                 3.5909,                 5.4292,                 3.0577,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.2643,                0.84896,                 1.0788,                0.03965,                0.04732,                0.03209,                0.01242,                  3.517,                 5.2543,                 2.8701,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.2438,                0.82184,                 1.0668,                0.02609,                0.02695,                0.01665,                0.00498,                 3.5102,                 5.6107,                 2.8604,               0.000406,               0.000406,               0.000406
                     62,                 1.2422,                0.83098,                 1.0578,                0.01737,                0.03806,                0.01448,                0.00325,                 3.6218,                  5.318,                 2.9455,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.2301,                0.81149,                  1.054,                 0.0324,                0.04346,                0.02711,                0.00802,                 3.4975,                 5.4582,                 2.8171,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.2519,                0.80368,                 1.0612,                0.02237,                0.03908,                0.01697,                0.00512,                 3.5044,                 5.3033,                 2.8645,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.2341,                0.80861,                 1.0516,                0.43244,                0.01383,                 0.0154,                0.00463,                 3.5376,                 5.3986,                 2.9291,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.2289,                0.80585,                 1.0562,                0.03292,                0.04089,                0.02549,                0.00657,                 3.4721,                  5.414,                 2.8068,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.2399,                0.79504,                 1.0484,                0.02492,                0.02257,                0.01631,                0.00453,                 3.5681,                 5.8625,                 2.9461,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.2073,                0.78602,                 1.0445,                0.01442,                0.02257,                 0.0103,                0.00229,                  3.584,                 5.4759,                 3.0082,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.2113,                0.78874,                 1.0487,                0.03315,                0.03891,                0.02632,                0.00456,                 3.6326,                  5.415,                 3.0058,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.1883,                0.76389,                 1.0384,                0.01169,                0.02772,                0.00872,                0.00227,                 3.5574,                 5.3661,                 2.9588,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.2021,                0.79008,                 1.0388,                0.00997,                0.02078,                0.00653,                0.00143,                 3.6507,                  5.391,                 3.1265,               0.000307,               0.000307,               0.000307
                     72,                 1.1894,                0.75621,                 1.0369,                0.01894,                0.02001,                0.01254,                0.00359,                 3.5793,                 5.8873,                 3.0128,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.2054,                0.77064,                 1.0422,                 0.0144,                0.02309,                0.01104,                0.00278,                 3.5717,                 5.5906,                  2.984,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.1679,                0.74561,                 1.0238,                0.03115,                0.02541,                0.02183,                0.00719,                 3.5017,                 5.6705,                 2.8517,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.2008,                0.75188,                 1.0288,                0.03668,                0.02464,                0.01726,                0.00492,                  3.502,                 5.3934,                 2.8268,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.1893,                0.75679,                 1.0311,                0.23397,                0.01769,                  0.018,                0.00547,                 3.4682,                 5.4545,                  2.811,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.1674,                0.72974,                 1.0155,                0.03713,                0.03602,                0.03234,                0.00662,                 3.5139,                 5.3487,                 2.8736,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.1502,                0.71739,                 1.0192,                0.02265,                0.02386,                0.01673,                0.00508,                 3.5324,                 5.6611,                 2.9278,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.1719,                 0.7292,                 1.0167,                0.01806,                0.02155,                0.01334,                0.00467,                 3.5898,                 5.8351,                 2.9805,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.1499,                0.71806,                 1.0215,                0.02165,                0.03235,                0.01911,                0.00503,                 3.5339,                 5.4261,                 2.9116,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.1603,                0.73415,                 1.0343,                0.03235,                0.03368,                0.02181,                0.00648,                 3.5865,                 5.5065,                  2.959,               0.000208,               0.000208,               0.000208
                     82,                 1.1397,                0.71171,                 1.0183,                0.02053,                0.02232,                0.01538,                0.00445,                 3.5305,                  5.862,                 2.8857,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.1462,                0.71316,                 1.0154,                0.02233,                0.02309,                0.01704,                0.00548,                 3.5015,                 5.9122,                 2.8597,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.1195,                  0.713,                 1.0043,                0.03983,                0.02649,                0.02377,                0.00812,                 3.5624,                 5.8898,                 2.9066,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.1216,                0.71005,                 1.0163,                0.03901,                0.02649,                0.02382,                0.00745,                 3.5216,                 5.7585,                 2.8475,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.1254,                0.72393,                 1.0019,                0.03127,                0.03266,                0.02067,                 0.0071,                 3.5123,                 5.6137,                 2.8442,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.1258,                 0.6955,                 1.0081,                0.01753,                0.02541,                0.01255,                0.00358,                  3.569,                 5.6575,                 2.8929,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.0942,                0.68942,                 0.9979,                0.01871,                0.01769,                0.01354,                0.00419,                 3.5964,                 5.9326,                 2.9083,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.1024,                0.67731,                0.99593,                0.02429,                0.01948,                0.01504,                0.00422,                 3.5589,                 5.8825,                 2.9111,              0.0001288,              0.0001288,              0.0001288
                     90,                  1.128,                0.68392,                 1.0061,                0.02025,                0.02695,                0.01472,                0.00442,                 3.5166,                 5.6534,                 2.8655,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.0741,                0.60008,                0.99887,                0.02104,                0.02849,                0.01811,                0.00496,                 3.5348,                 5.5174,                 2.9188,               0.000109,               0.000109,               0.000109
                     92,                 1.0435,                0.57926,                0.98773,                0.02897,                 0.0342,                0.02224,                0.00611,                  3.549,                 5.5069,                 2.9419,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.0114,                0.57424,                0.98068,                0.03603,                0.03266,                0.02517,                0.00762,                 3.5392,                  5.594,                 2.8942,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.0417,                0.58673,                0.98572,                0.03911,                0.03112,                0.02568,                0.00721,                 3.5654,                 5.6458,                  2.925,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                  1.017,                0.57673,                 0.9829,                0.03437,                0.03189,                0.02396,                0.00648,                 3.5895,                 5.6025,                   2.97,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 0.9992,                 0.5521,                0.97238,                 0.0332,                0.03189,                0.02303,                0.00645,                 3.5679,                  5.609,                 2.9306,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                  1.008,                0.55593,                0.97512,                0.03514,                0.03189,                0.02393,                0.00704,                 3.5613,                 5.6433,                   2.92,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                  1.011,                0.56295,                0.97618,                0.02944,                0.02695,                0.02048,                0.00556,                 3.5624,                 5.6489,                 2.9245,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.99608,                0.55557,                0.96917,                 0.0295,                0.02541,                0.02061,                 0.0054,                  3.564,                 5.6456,                 2.9152,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.99383,                0.54165,                0.97023,                0.02542,                0.02618,                0.01883,                 0.0051,                 3.5618,                 5.5746,                 2.9225,               1.99e-05,               1.99e-05,               1.99e-05
