                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.631,                 1.0106,                 1.1654,                 0.7926,                0.74505,                0.79106,                0.37413,                 1.8155,                 1.0707,                 1.3222,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.6167,                  1.012,                 1.1679,                0.77549,                0.73812,                0.79951,                0.39889,                 1.7942,                 1.0937,                 1.3187,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.5645,                0.96486,                 1.1416,                0.81714,                0.77899,                0.80793,                0.38906,                 1.7561,                 1.0366,                 1.2972,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.5704,                0.96452,                 1.1415,                0.78267,                0.74147,                0.79152,                 0.3842,                 1.8092,                 1.0965,                 1.3137,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.5694,                0.97041,                 1.1489,                0.84046,                0.76682,                0.81938,                0.38587,                 1.8307,                 1.0997,                 1.3039,             0.00069304,             0.00069304,             0.00069304
                     40,                  1.576,                0.99374,                 1.1244,                0.77114,                0.71829,                0.76887,                0.38326,                 1.8223,                 1.0942,                 1.2986,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.5409,                0.97479,                 1.1199,                0.79504,                0.77836,                0.79207,                0.38337,                 1.8302,                 1.0053,                 1.3123,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.5578,                0.93405,                 1.1316,                0.83338,                0.75584,                0.81807,                0.40141,                 1.7482,                 1.0181,                 1.2796,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.6016,                0.99259,                 1.1863,                0.80223,                 0.7699,                0.80942,                0.38519,                 1.8163,                 1.0331,                 1.3042,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.5709,                0.92983,                 1.1439,                0.84254,                0.77305,                0.83292,                0.41406,                 1.7924,                 1.0157,                 1.2803,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.5439,                0.92047,                 1.1256,                0.83909,                0.72435,                0.80316,                0.38841,                 1.7575,                 1.0485,                 1.2963,             0.00062705,             0.00062705,             0.00062705
                     46,                  1.535,                0.91219,                 1.1315,                0.82742,                0.78306,                 0.8227,                 0.4095,                 1.7616,                 1.0144,                 1.2743,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.4947,                 0.8871,                 1.1124,                0.79825,                0.79822,                0.82422,                 0.3951,                 1.8073,                 1.0138,                 1.3213,             0.00060505,             0.00060505,             0.00060505
